player_name,mfl_player_id,year,position,positional_rank
Jalen Reagor,14839,2021,WR,55
Laviska Shenault,14838,2021,WR,44
Zack Moss,14798,2021,RB,36
Tee Higgins,14835,2021,WR,26
AJ Dillon,14805,2021,RB,39
Brandon Aiyuk,14840,2021,WR,25
Jordan Love,14782,2021,QB,41
Bryan Edwards,14844,2021,WR,81
Cole Kmet,14867,2021,TE,20
Chase Claypool,14841,2021,WR,31
Devin Duvernay,14847,2021,WR,129
Darrynton Evans,14808,2021,RB,72
Jalen Hurts,14783,2021,QB,10
Jacob Eason,14780,2021,QB,55
Tyler Johnson,14864,2021,WR,127
Joshua Kelley,14807,2021,RB,63
Antonio Gibson,14852,2021,RB,13
KJ Hamler,14837,2021,WR,86
Lynn Bowden,14843,2021,WR,114
Anthony McFarland,14804,2021,RB,75
Van Jefferson,14858,2021,WR,91
James Proche,14848,2021,WR,999
Quintez Cephus,14850,2021,WR,102
Antonio Gandy-Golden,14863,2021,WR,118
Devin Asiasi,14936,2021,TE,75
LeVante Bellamy,14830,2021,RB,999
Eno Benjamin,14801,2021,RB,95
Lamical Perine,14806,2021,RB,69
DeeJay Dallas,14815,2021,RB,88
Adam Trautman,14870,2021,TE,27
Michael Warren,14816,2021,RB,999
Isaiah Hodgins,14849,2021,WR,999
Albert Okwuegbunam,14873,2021,TE,47
Joe Burrow,14777,2023,QB,5
Jonathan Taylor,14802,2023,RB,4
Clyde Edwards-Helaire,14803,2023,RB,56
Tua Tagovailoa,14778,2023,QB,11
D'Andre Swift,14797,2023,RB,25
Jerry Jeudy,14833,2023,WR,25
Cam Akers,14799,2023,RB,21
J.K. Dobbins,14800,2023,RB,18
Justin Herbert,14779,2023,QB,7
Justin Jefferson,14836,2023,WR,1
CeeDee Lamb,14832,2023,WR,6
Henry Ruggs,14834,2023,WR,999
Ke'Shawn Vaughn,14810,2023,RB,115
Michael Pittman,14842,2023,WR,28
Denzel Mims,14846,2023,WR,174
Jalen Reagor,14839,2023,WR,163
Laviska Shenault,14838,2023,WR,106
Zack Moss,14798,2023,RB,76
Tee Higgins,14835,2023,WR,12
AJ Dillon,14805,2023,RB,34
Brandon Aiyuk,14840,2023,WR,30
Jordan Love,14782,2023,QB,21
Bryan Edwards,14844,2023,WR,194
Cole Kmet,14867,2023,TE,13
Chase Claypool,14841,2023,WR,71
Devin Duvernay,14847,2023,WR,103
Darrynton Evans,14808,2023,RB,158
Jalen Hurts,14783,2023,QB,3
Jacob Eason,14780,2023,QB,78
Tyler Johnson,14864,2023,WR,999
Joshua Kelley,14807,2023,RB,65
Antonio Gibson,14852,2023,RB,37
KJ Hamler,14837,2023,WR,107
Lynn Bowden,14843,2023,WR,999
Anthony McFarland,14804,2023,RB,999
Van Jefferson,14858,2023,WR,78
James Proche,14848,2023,WR,178
Quintez Cephus,14850,2023,WR,193
Antonio Gandy-Golden,14863,2023,WR,999
Devin Asiasi,14936,2023,TE,107
LeVante Bellamy,14830,2023,RB,999
Eno Benjamin,14801,2023,RB,88
Lamical Perine,14806,2023,RB,999
DeeJay Dallas,14815,2023,RB,92
Adam Trautman,14870,2023,TE,46
Michael Warren,14816,2023,RB,999
Isaiah Hodgins,14849,2023,WR,74
Albert Okwuegbunam,14873,2023,TE,38
Joe Burrow,14777,2022,QB,6
Jonathan Taylor,14802,2022,RB,1
Clyde Edwards-Helaire,14803,2022,RB,28
Tua Tagovailoa,14778,2022,QB,18
D'Andre Swift,14797,2022,RB,10
Jerry Jeudy,14833,2022,WR,23
Cam Akers,14799,2022,RB,16
J.K. Dobbins,14800,2022,RB,22
Justin Herbert,14779,2022,QB,2
Justin Jefferson,14836,2022,WR,2
CeeDee Lamb,14832,2022,WR,7
Henry Ruggs,14834,2022,WR,999
Ke'Shawn Vaughn,14810,2022,RB,78
Michael Pittman,14842,2022,WR,16
Denzel Mims,14846,2022,WR,137
Jalen Reagor,14839,2022,WR,103
Laviska Shenault,14838,2022,WR,73
Zack Moss,14798,2022,RB,66
Tee Higgins,14835,2022,WR,12
AJ Dillon,14805,2022,RB,25
Brandon Aiyuk,14840,2022,WR,40
Jordan Love,14782,2022,QB,44
Bryan Edwards,14844,2022,WR,94
Cole Kmet,14867,2022,TE,13
Chase Claypool,14841,2022,WR,42
Devin Duvernay,14847,2022,WR,130
Darrynton Evans,14808,2022,RB,82
Jalen Hurts,14783,2022,QB,7
Jacob Eason,14780,2022,QB,999
Tyler Johnson,14864,2022,WR,117
Joshua Kelley,14807,2022,RB,88
Antonio Gibson,14852,2022,RB,18
KJ Hamler,14837,2022,WR,95
Lynn Bowden,14843,2022,WR,999
Anthony McFarland,14804,2022,RB,129
Van Jefferson,14858,2022,WR,61
James Proche,14848,2022,WR,140
Quintez Cephus,14850,2022,WR,105
Antonio Gandy-Golden,14863,2022,WR,161
Devin Asiasi,14936,2022,TE,999
LeVante Bellamy,14830,2022,RB,999
Eno Benjamin,14801,2022,RB,96
Lamical Perine,14806,2022,RB,999
DeeJay Dallas,14815,2022,RB,112
Adam Trautman,14870,2022,TE,26
Michael Warren,14816,2022,RB,999
Isaiah Hodgins,14849,2022,WR,999
Albert Okwuegbunam,14873,2022,TE,15
player_name,mfl_player_id,year,position,positional_rank
Trevor Lawrence,15237,2021,QB,16
Najee Harris,15254,2021,RB,14
Kyle Pitts,15329,2021,TE,6
Trey Lance,15240,2021,QB,30
Ja'Marr Chase,15281,2021,WR,27
Justin Fields,15238,2021,QB,23
Zach Wilson,15239,2021,QB,29
Javonte Williams,15256,2021,RB,31
Mac Jones,15241,2021,QB,37
Travis Etienne,15253,2021,RB,25
DeVonta Smith,15282,2021,WR,41
Jaylen Waddle,15284,2021,WR,51
Rondale Moore,15283,2021,WR,72
Trey Sermon,15257,2021,RB,42
Rashod Bateman,15293,2021,WR,63
Michael Carter,15258,2021,RB,38
Elijah Moore,15288,2021,WR,76
Terrace Marshall,15308,2021,WR,83
Pat Freiermuth,15331,2021,TE,45
Amon-Ra St Brown,15287,2021,WR,80
Kadarius Toney,15289,2021,WR,90
Nico Collins,15290,2021,WR,105
D'Wayne Eskridge,15302,2021,WR,111
Kenneth Gainwell,15255,2021,RB,58
Frank Darby,15304,2021,WR,168
